44343ce3 c1fc1d9f c6b180ca c6b17f7b c6b16a83 c6b13000
3fd5be1f 3fa207dc 400748e0 40074814 40073960 4006ca00
42577f63 c3d90c11 c6b6b523 c6b6b4c1 c6b69df0 c6b63f00
3fd073ca 3fc4a277 40201cf1 40201bf5 40201806 401f4000
dd653963 2c16f5a3 ca072b92 ca072ac6 ca0720fd ca062e00
bf460bbf 3f758db4 bf3df6de bf3df59b bf3de100 bf3d7e00
445ccbb0 c406aa9a c8e84b84 c8e849c2 c8e82cf0 c8e65000
5b9a99c5 3fbfaa50 5be77f29 5be77da1 5be76414 5be5cc00
3f85300d 3fa85d6a 3faf3044 3faf2fc5 3faf223e 3fae9000
bf5e010d bf06e2d8 3ee9f28a 3ee9f106 3ee9ec80 3ee86800
d870bfec 27ea1c08 c0dc29ca c0dc28eb c0dc0feb c0db6000
3fda9698 3fecc2c0 404a291e 404a27ee 404a20ac 4048f800
3fd73aa1 3fde2add 403ac8e1 403ac79c 403ab686 403a7200
bf2a2aff 3f03573e beae9bfd beae9aa5 beae8714 beadfc00
bf2b1760 3f56c2eb bf0f87cf bf0f86e1 bf0f7fac bf0ef200
3faa2ae6 3ff7e3ec 4024c6e5 4024c569 4024b9bc 40240600
c541da08 b27b9323 383e8031 383e800e 383e73f5 383d3b00
3f1b7a30 bedf4fbb be879fdc be879f41 be878d6c be870500
44d9f6ba 51f9ac0b 57549376 575492b7 575482a6 57531100
c329d2b9 43c01f02 c77ee539 c77ee421 c77ecd3a c77d8000
3f2b8c5e bea8e1d5 be6256e6 be62554c be624420 be607000
bf14f90d 3dd3c35a bd7675e8 bd767569 bd766308 bd73f800
41085c3e 4d81f9b1 4f0a76f6 4f0a75fb 4f0a6036 4f091000
db3bfd5f 3a5c3788 d621b685 d621b5cf d621a57d d620b400
590ad959 5ac7701b 74585784 745856dc 745848d6 74568c00
c466327c c2bcb8af 47a9b325 47a9b22c 47a9a981 47a8e800
3fd0c6ff 3fc67ee0 4021e162 4021dfe5 4021cfd4 4020e000
3fcbeee8 3f9c70f3 3ff93f1f 3ff93c80 3ff92b64 3ff76800
c41839b4 443d586f c8e12e5f c8e12cd1 c8e115fe c8e07000
2d3a2633 ceda8950 bc9ee860 bc9ee7fa bc9edc50 bc9e6400
3abb9fdd 5368d243 4eaaa2fb 4eaaa200 4eaa92e5 4ea97800
3e913b75 be403f95 bd5a2154 bd5a1ffb bd59fe72 bd598000
27b2b2d6 2bb0b1ef 13f6ae4f 13f6abda 13f6a7b2 13f4c000
3f02cb46 3bef961f 3b74d0f3 3b74d050 3b74b598 3b72bc00
bea5daca 3f2754d0 be58d159 be58cf43 be58bd02 be574600
3fec2015 3fe482c2 4052c52e 4052c468 4052c290 40523000
bdd7e7ad 3eda0015 bd37db5b bd37dab6 bd37d4c0 bd371600
3fb1e4ea 3fee1f6a 402578a6 40257783 4025695e 40248e00
431f1427 42e74da5 468fbb6f 468fbae5 468faf34 468f7900
3fd6bdf2 3fcab359 402a0852 402a0748 4029fa79 4028dc00
b8177c65 b6257e79 2ec3dc08 2ec3daf6 2ec3bae2 2ec2a600
